index,Event,totalWeight,sum_lep_charge,lead_lep_pt,sublead_lep_pt,mll,ETmiss,dRll,dphi_pTll_ETmiss,fractional_pT_difference,ETmiss_over_HT
15094,Non-resonant_ll,0.1087814859323886,0,54.35353515625,53.80686328125,91.49899190572552,107.0886640625,1.8586346044596755,0.6654915809631348,0.002932727212858,0.5358489
20367,Non-resonant_ll,0.1113587585873326,0,143.648,56.5149453125,185.48327358629217,138.88628125,2.346303050703657,2.084553003311157,0.5498800410360501,0.27425823
17618,Non-resonant_ll,0.102805285615482,0,67.347359375,28.416810546875,47.07921702479136,111.9733671875,1.050460827579488,1.2953025698661804,0.0037379540375007,0.9298234
63424,Z+jets,0.2258731843905667,0,43.42521484375,29.057,91.67735241397332,105.8327265625,2.964654301028589,2.4962499141693115,1.5932049962240646,0.63429034
61528,Z+jets,0.3249684323060943,0,57.6897265625,41.66628515625,89.76030845683505,90.7343046875,2.3116868302302764,2.7350428104400635,0.75311489827067,0.75684243
42193,Z+jets,0.1279671382151841,0,42.12236328125,41.7365859375,83.26656253973457,90.656328125,2.881723390198528,0.586929202079773,0.054372245854508,0.5471125
215545,WZ,0.0016720834943976,0,109.26759375,68.1892109375,84.43334517014104,126.197546875,0.943331704787828,0.6790907382965088,0.0116951294849921,0.34391543
511798,WZ,0.0002628342077389,0,146.331484375,52.6795546875,92.76254113012544,100.433203125,1.08125730929762,2.2478244304656982,0.2003446923123901,0.23693529
407203,WZ,0.0002875977056391,0,36.80598828125,25.21916015625,81.83295151042101,96.089359375,2.905149260786325,0.9917585849761964,0.1452348358451837,0.6129221
639365,ZZ,0.0013240041102457,0,157.23184375,73.3911171875,199.91832402830795,91.80896875,2.306579681020323,0.908263623714447,0.3556236952665083,0.31657413
614300,ZZ,0.0285985772564326,0,99.021203125,50.4191796875,87.7032914757806,123.8507421875,1.338488411589072,0.0373634099960327,0.0228656184176497,0.8287636
905945,ZZ,0.0009216559469419,0,337.72478125,68.3070390625,466.462786333394,129.9030546875,3.063818280677438,0.5246009826660156,0.2572194802894227,0.22958502
1231596,DM_300,0.0732134645274311,0,112.253578125,24.48105859375,89.17367532867299,92.9700703125,1.9936485808233584,0.2091507017612457,0.0840248996916224,0.22970606
1232084,DM_300,0.0747099947971265,0,91.3758515625,33.852421875,86.50842240981585,92.734421875,1.7743929268518708,2.783709168434143,0.0177875823917203,0.74052304
1231994,DM_300,0.0949502617344804,0,146.1191875,48.82833984375,91.38838922362508,192.667109375,1.0697099080767438,0.0010415911674499,0.0302200240338251,0.9883024
